Model,MAE,RMSE,r2,R
LSTM-6h,7.327596353260052,9.792615615587675,-410106.6018048021,0.385494479231528
LightGBM-6h,5.8311204206324465,8.259768161211769,-1.219633017916633,0.5330493623946675
LSTM-TSLightGBM-6h,5.816649755545843,8.296143301044987,-0.863106858708357,0.5330344764967663
