Model,MAE,RMSE,r2,R
LSTM-2h-12T,5.2635699724970895,7.524776113227913,-0.04535389367848608,0.6580959240110649
LightGBM-2h-12T,5.119358601837273,7.340332216960456,0.09785100395700252,0.684903574607493
LSTM-TSLightGBM-2h-12T,5.455511969104268,7.850759958959682,0.17095613980030044,0.657519933271303
,,,,
LSTM-2h-16T,5.098169222771221,7.405868563241663,-0.28299294962759114,0.6378409361978894
LightGBM-2h-16T,4.993873883381952,7.274386905835919,-0.17766430547633472,0.6573444844103948
LSTM-TSLightGBM-2h-16T,5.260291096029756,7.686010624387637,-0.0893648218473253,0.6232396249929832
,,,,
LSTM-2h-18T,5.076822402887046,7.414276263805186,-0.36184580298326874,0.6240337270353645
LightGBM-2h-18T,4.890440631084804,7.151009877128618,-0.2305587374795217,0.6621553162149156
LSTM-TSLightGBM-2h-18T,5.189746337730976,7.586743728460524,-0.11901289919205826,0.6267819843194968
,,,,
LSTM-2h-24T,5.075854327922878,7.350012837881861,-0.5755497311807625,0.5922133581426428
LightGBM-2h-24T,4.796311648540228,6.9894575568396515,-0.26728026372280933,0.6440592246404453
LSTM-TSLightGBM-2h-24T,4.9507457338953715,7.232449050190578,-0.08376882383529693,0.6263623768773268
,,,,
LSTM-2h-32T,5.001871060408079,7.020621651285557,-1.0063136822635617,0.51421229083786
LightGBM-2h-32T,4.585943640279541,6.576558624999991,-0.34987953989775433,0.5907797710312027
LSTM-TSLightGBM-2h-32T,4.656116003311689,6.667144970939369,-0.037629896452379574,0.5984041882737714
,,,,
LSTM-4h-4T,6.826599002323698,9.437109183520738,-0.35139628232540066,0.6006171005021008
LightGBM-4h-4T,6.609030607999369,9.060661028325415,-0.2893730724096737,0.6390882810322388
LSTM-TSLightGBM-4h-4T,6.879272076098927,9.487530685135193,-0.19105440789769546,0.6083291518829199
,,,,
LSTM-4h-8T,6.164201321554054,8.786936358052712,-0.5047433914274997,0.5718882890394608
LightGBM-4h-8T,5.967630860099929,8.432305210364927,-0.3179893258973916,0.6216741067176287
LSTM-TSLightGBM-4h-8T,6.256601287973965,8.921152629631885,-0.17295835848754604,0.5903264553264892
,,,,
LSTM-4h-10T,6.15636616978297,8.490696290440447,-0.6951169565866482,0.5681722881359377
LightGBM-4h-10T,5.778678964750479,8.071937954880942,-0.3717600350034884,0.6071281511145761
LSTM-TSLightGBM-4h-10T,6.009277950178762,8.564539566768527,-0.15160879233151903,0.5667168200384626
,,,,
LSTM-4h-12T,6.260790687934694,8.535972185454783,-0.904213797587923,0.5346736585482269
LightGBM-4h-12T,5.699794937469813,8.038635158564867,-0.6832161150010663,0.5751407210177119
LSTM-TSLightGBM-4h-12T,5.850846903897548,8.404868212221963,-0.42723899778692487,0.5323767182142792
,,,,
LSTM-4h-16T,6.169142500807841,8.647418138485406,-1.6945287494073131,0.45678130234135145
LightGBM-4h-16T,5.563738860153592,7.932388604887974,-1.0762219884471902,0.5650578293686005
LSTM-TSLightGBM-4h-16T,5.6632964024436605,8.153498057559844,-0.5458233727134916,0.5433924844394314
,,,,
LSTM-4h-18T,6.332354439002225,8.568438075975008,-2.356517041802097,0.4779288372570787
LightGBM-4h-18T,5.442781120502047,7.809340484643684,-1.1708652688625785,0.5745141967410863
LSTM-TSLightGBM-4h-18T,5.357129713919299,7.859301875678659,-0.6097564519111249,0.5630126334224519
,,,,
LSTM-4h-24T,6.049033925637468,8.4112379136057,-2.782294308425048,0.4141843314288602
LightGBM-4h-24T,5.319852109668251,7.7378752412111815,-1.0497597127783447,0.5339051694476346
LSTM-TSLightGBM-4h-24T,5.3301885607942125,7.925082238786539,-0.424461377940049,0.5285093403088367
,,,,
LSTM-4h-32T,5.581156921579575,7.5297428791935355,-2.4905499741784265,0.4252995005626452
LightGBM-4h-32T,4.981785534010579,6.8819210621609,-1.0677256313524688,0.5448411692082153
LSTM-TSLightGBM-4h-32T,5.007769491607808,7.013338380126774,-0.47072834901368954,0.5369857038831047
,,,,
LSTM-8h-4T,6.7139899067804825,9.398876768460086,-0.9440191010953785,0.5147604558931325
LightGBM-8h-4T,6.603566201250793,9.240827744906587,-1.0330345602706528,0.5235420870913016
LSTM-TSLightGBM-8h-4T,6.938840651123421,9.744026010921102,-0.8562801191199405,0.4669307057251805
,,,,
LSTM-8h-8T,6.579271360069068,8.986210799260856,-1.328625367314812,0.47640534277536745
LightGBM-8h-8T,6.032784414657142,8.401206312996745,-0.9797452449939821,0.5349577443020159
LSTM-TSLightGBM-8h-8T,6.277425941250121,8.895954210748373,-0.551960228031434,0.4835116994825999
,,,,
LSTM-8h-10T,6.24925705111639,8.648279309349013,-1.5435859632490634,0.5016957302669515
LightGBM-8h-10T,5.940395385576544,8.350829364722905,-1.4273370630168531,0.5245713038732641
LSTM-TSLightGBM-8h-10T,6.26721815123134,8.997236079748738,-0.8930664920709539,0.4404188135715774
,,,,
LSTM-8h-12T,6.080174200857679,8.592859532112357,-1.0931339966906122,0.49785354734257625
LightGBM-8h-12T,5.880495997391357,8.326725200439828,-1.4619610474596008,0.5118704660667631
LSTM-TSLightGBM-8h-12T,6.218968993794448,8.814927176476727,-1.254401065536919,0.4344190585778556
,,,,
LSTM-8h-16T,6.204077832797576,8.636342642613348,-2.80201188771436,0.4545226723222272
LightGBM-8h-16T,5.6916135525919,8.1050958456844,-1.6159800411755847,0.5290018737172187
LSTM-TSLightGBM-8h-16T,5.812203625301734,8.399254653195435,-0.8031947482493342,0.49163986724539704
,,,,
LSTM-8h-18T,5.676369828857231,8.154216079079301,-2.7954726352571817,0.4539103273114065
LightGBM-8h-18T,5.652051566451331,7.942160666189874,-1.602895269089601,0.519263518149062
LSTM-TSLightGBM-8h-18T,5.960620542129894,8.381980011783773,-0.8400241524568253,0.48759881964267116
,,,,
LSTM-8h-24T,6.141770032769469,8.61557899079316,-3.5642647916832866,0.3325895910659899
LightGBM-8h-24T,5.625695220078351,7.981333396246757,-2.1335884215702006,0.4922451335555237
LSTM-TSLightGBM-8h-24T,5.666734112522773,8.052458199505347,-1.1831577041786994,0.49876879860044765
,,,,
LSTM-8h-32T,6.0139894697636995,7.704135957030324,-3.8362498774806344,0.3925266428493325
LightGBM-8h-32T,5.322542809980767,7.019548827054502,-1.9927147734288533,0.5187130627789933
LSTM-TSLightGBM-8h-32T,5.283198952578418,7.135103301979184,-1.056668333101825,0.4938829206756757
,,,,
